identifier	name	definition	synonyms	alts	parents	species
conceptualization	Conceptualization	Ideas; formulation or evolution of overarching research goals and aims.			obo:credit#contributor-role	
data-curation	Data curation	Management activities to annotate (produce metadata), scrub data and maintain research data (including software code, where it is necessary for interpreting the data itself) for initial use and later re-use.			obo:credit#contributor-role	
formal-analysis	Formal analysis	Application of statistical, mathematical, computational, or other formal techniques to analyse or synthesize study data.			obo:credit#contributor-role	
funding-acquisition	Funding acquisition	Acquisition of the financial support for the project leading to this publication.			obo:credit#contributor-role	
investigation	Investigation	Conducting a research and investigation process, specifically performing the experiments, or data/evidence collection.			obo:credit#contributor-role	
methodology	Methodology	Development or design of methodology; creation of models.			obo:credit#contributor-role	
project-administration	Project administration	Management and coordination responsibility for the research activity planning and execution.			obo:credit#contributor-role	
resources	Resources	Provision of study materials, reagents, materials, patients, laboratory samples, animals, instrumentation, computing resources, or other analysis tools.			obo:credit#contributor-role	
software	Software	Programming, software development; designing computer programs; implementation of the computer code and supporting algorithms; testing of existing code components.			obo:credit#contributor-role	
supervision	Supervision	Oversight and leadership responsibility for the research activity planning and execution, including mentorship external to the core team.			obo:credit#contributor-role	
validation	Validation	Verification, whether as a part of the activity or separate, of the overall replication/reproducibility of results/experiments and other research outputs.			obo:credit#contributor-role	
visualization	Visualization	Preparation, creation and/or presentation of the published work, specifically visualization/data presentation.			obo:credit#contributor-role	
writing-original-draft	Writing – original draft	Preparation, creation and/or presentation of the published work, specifically writing the initial draft (including substantive translation).			obo:credit#contributor-role	
writing-review-editing	Writing – review & editing	Preparation, creation and/or presentation of the published work by those from the original research group, specifically critical review, commentary or revision — including pre- or post-publication stages.			obo:credit#contributor-role	
